State,Month,"Percent of Determinations Processed
< 24 hours","Percent of Determinations Processed
1 - 7 Days","Percent of Determinations Processed
8 - 30 Days","Percent of Determinations Processed
31- 45 Days","Percent of Determinations Processed
45+ Days"
Alabama,February,75.1,9.9,11,2.7,1.3
Alabama,March,76.5,9.6,11.4,1.7,0.8
Alabama,April,76.4,9.8,11,1.7,1.1
Alaska,February,13.5,17.6,37.8,4.7,26.4
Alaska,March,9.2,18.5,28.2,13,31.1
Alaska,April,5.2,37,13,8.6,36.1
Arizona,February,41.4,20.4,25.3,8.2,4.7
Arizona,March,43.6,23.3,21,5.3,6.8
Arizona,April,21.4,18.7,41.9,13.5,4.6
Arkansas,February,28.1,21.3,22.2,22,6.4
Arkansas,March,28.5,18.4,22.5,25.8,4.8
Arkansas,April,26.4,18.4,44.1,6.7,4.4
California,February,14.7,13.5,31.5,16.5,23.8
California,March,13.8,15,28.5,19,23.7
California,April,12.3,17.9,34,14.6,21.3
Colorado,February,36.9,22.2,21.8,13.5,5.5
Colorado,March,44.8,22.8,19,6.9,6.5
Colorado,April,37.9,28.2,23.6,5.4,4.9
Connecticut,February,97.4,2,0.4,0.1,0.1
Connecticut,March,97.8,1.7,0.4,0.1,0.1
Connecticut,April,97.8,1.7,0.4,0.1,0.1
Delaware,February,17,54,7,22,0
Delaware,March,17,23.4,30.5,28.6,0.5
Delaware,April,37.6,39.6,8.1,14.8,0
District of Columbia,February,80.1,5,11.4,2.7,0.8
District of Columbia,March,62.2,5.1,24.2,6.4,2.1
District of Columbia,April,48.4,22.6,26.1,2.2,0.7
Florida,February,31.6,27.8,33.7,4.8,2.1
Florida,March,32.9,30.5,28,5.1,3.5
Florida,April,23.2,28.3,42.8,3,2.7
Georgia,February,2.4,6.3,12.6,8.1,70.6
Georgia,March,2.6,8.8,13,8.5,67.1
Georgia,April,2,15.5,14.3,5.4,62.9
Hawaii,February,64.9,9.2,24,1.1,0.9
Hawaii,March,65.2,12,21.3,1,0.6
Hawaii,April,83.5,8.7,6.5,1.1,0.2
Idaho,February,51.1,18.3,28,2.1,0.4
Idaho,March,53.9,24.7,19.7,1.2,0.5
Idaho,April,59.8,14.5,24.6,0.7,0.4
Illinois,February,27.8,13.8,22.7,5.8,29.9
Illinois,March,24.6,27.5,21.2,4.5,22.2
Illinois,April,22.5,30.6,25.9,4.4,16.6
Indiana,February,4,6.3,51.4,23,15.3
Indiana,March,4.6,6.6,51,26,11.8
Indiana,April,2.8,10.6,52.8,23.2,10.6
Iowa,February,6.2,6.6,64.9,15.5,6.8
Iowa,March,6,10.5,65.9,13.8,3.6
Iowa,April,13,26.9,47.4,6.7,5.9
Kansas,February,3.9,30.8,48.2,8.5,8.5
Kansas,March,5.6,48.9,34.5,5.5,5.4
Kansas,April,8.6,55.7,30.2,3,2.5
Kentucky,February,62.3,5.1,31.6,0.7,0.4
Kentucky,March,69.9,6,22.7,1.1,0.3
Kentucky,April,74.4,4.9,15.7,3.6,1.3
Louisiana,February,49.1,14.4,17.2,3.8,15.6
Louisiana,March,46,16,18.3,4.1,15.5
Louisiana,April,53.7,17.9,11.5,3.3,13.6
Maine,February,5.8,3.2,12.1,55.4,23.5
Maine,March,6.9,8.6,63.7,7.4,13.5
Maine,April,14.4,53.7,17.7,3.7,10.5
Maryland,February,98.1,1.5,0.3,0.1,0
Maryland,March,98.2,1.5,0.2,0.1,0
Maryland,April,98.3,1.5,0.2,0,0
Massachusetts,February,77.7,7.6,4.8,1.9,8
Massachusetts,March,76.5,5.5,6.9,2.6,8.5
Massachusetts,April,88.8,3.6,0.9,0.3,6.4
Michigan,February,37.6,25,26.7,8.8,1.9
Michigan,March,37,29.5,24.1,7.9,1.4
Michigan,April,36.1,34.1,22.8,6.1,0.9
Minnesota,February,47.9,25.5,26.6,0,0
Minnesota,March,50.3,26,23.7,0,0
Minnesota,April,57.2,23.6,19.2,0,0
Mississippi,February,1.8,20.4,54,16.6,7.3
Mississippi,March,1.7,22.1,54.5,15.3,6.4
Mississippi,April,1.6,27.8,58.1,8.6,3.9
Missouri,February,7.1,4.3,12.3,13.1,63.2
Missouri,March,5.7,4.1,12.7,19.5,58
Missouri,April,6.2,23.9,37,8.9,24
Montana,February,31.1,17.4,32,11.1,8.4
Montana,March,27.1,17.8,33.9,12,9.2
Montana,April,17.7,23,39.7,11.1,8.5
Nebraska,February,29.5,21,30.9,7,11.5
Nebraska,March,37.5,18.2,35.5,4.9,3.9
Nebraska,April,48.4,17.5,25.7,4,4.3
Nevada,February,0,67.2,30.1,2.2,0.4
Nevada,March,0,71.5,26.7,1.5,0.3
Nevada,April,0,70.2,27.1,2.1,0.6
New Hampshire,February,32.1,34.2,30.7,1.2,1.8
New Hampshire,March,30,38.1,29,1.3,1.6
New Hampshire,April,29.7,47.2,20.9,0.6,1.6
New Jersey,February,0.5,45.1,46.8,5.4,2.2
New Jersey,March,0.3,46.7,44.1,6.1,2.7
New Jersey,April,0.2,64.9,26.3,6.6,2
New Mexico,February,51.4,14.8,18.7,13.1,2
New Mexico,March,54,16.7,14.7,12.3,2.3
New Mexico,April,50.1,17.5,19.8,11.1,1.4
New York,February,99.5,0.2,0.1,0,0.2
New York,March,99.6,0.2,0.1,0,0.1
New York,April,99.7,0.1,0,0,0.1
North Carolina,February,0,24.7,23.5,46.6,5.2
North Carolina,March,0,34,19.7,42,4.4
North Carolina,April,0,54.4,28.7,15.6,1.2
North Dakota,February,2.5,16.8,46.8,19.4,14.5
North Dakota,March,3.4,21.1,47.7,17.5,10.3
North Dakota,April,2.8,21.4,51.9,17.3,6.6
Ohio,February,16.1,22.4,37.2,8.1,16.2
Ohio,March,16,24.8,36.8,9.3,13.1
Ohio,April,20,30.4,32.2,6.4,11.1
Oklahoma,February,100,0,0,0,0
Oklahoma,March,100,0,0,0,0
Oklahoma,April,100,0,0,0,0
Oregon,February,49.5,16.5,17.9,9.4,6.7
Oregon,March,53.2,22.5,15.7,6.2,2.4
Oregon,April,64.7,16.4,11.3,4.3,3.2
Pennsylvania,February,14.8,20,50.3,7.8,7.2
Pennsylvania,March,13.5,24.1,48.3,8.1,6.1
Pennsylvania,April,13,28.1,47.7,8.1,3.1
Rhode Island,February,66,9.4,8.6,1,14.9
Rhode Island,March,64.1,15.6,6.6,0.5,13.3
Rhode Island,April,62.4,15.8,5.4,1,15.4
South Carolina,February,45.4,20.1,13.1,3,18.4
South Carolina,March,55.2,23.5,9,3.2,9.2
South Carolina,April,44.3,24.9,11.4,3.6,15.7
South Dakota,February,0,60,32.7,7.2,0.2
South Dakota,March,0,63,29.2,7.7,0.1
South Dakota,April,0,57.9,33.7,7.7,0.6
Tennessee,February,,,,,
Tennessee,March,,,,,
Tennessee,April,,,,,
Texas,February,15.6,16.8,29,15.7,22.9
Texas,March,14.5,22.4,45.7,12.5,5
Texas,April,10,32,45.7,8.3,3.9
Utah,February,17.8,29.3,41.6,7,4.3
Utah,March,19.7,33.9,37.4,5.3,3.8
Utah,April,19.4,29.6,43.1,5,3
Vermont,February,32.2,3,11.1,4.9,48.9
Vermont,March,32.4,6.8,20,10.3,30.5
Vermont,April,74.3,23.4,1.3,0.5,0.4
Virginia,February,13,9.5,24.6,14.3,38.5
Virginia,March,14.1,9.1,23.4,16.2,37.1
Virginia,April,14.1,11.2,25.1,17.5,32.1
Washington,February,84.1,5.9,7.1,1.4,1.6
Washington,March,85.5,5.7,6.5,1.1,1.2
Washington,April,84.1,6.5,7.2,1.2,0.9
West Virginia,February,23.8,29.6,36.7,6.5,3.4
West Virginia,March,22.2,33.4,34.7,6.5,3.3
